Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Very Large,62774.67,29.5,554.92
Very Large,99249.48,27.7,825.36
Large,36575.41,15.9,87.46
Large,47276.61,20.4,144.57
Very Large,89917.21,23.7,639.83
Large,44663.09,18.8,125.98
Large,33232.16,17.0,84.52
Very Large,76166.48,22.9,522.61
Very Large,87874.09,22.8,600.12
Very Large,89895.71,24.0,646.16
Very Large,94847.9,25.2,717.1
Very Large,84794.96,27.9,710.56
Large,38404.19,18.6,107.33
Large,28307.13,24.8,105.45
Small,3191.51,10.2,0.32
Very Large,94699.49,26.5,754.08
Large,29394.86,23.0,101.35
Medium,6251.96,19.1,5.96
Very Large,86986.52,23.2,605.34
Small,2379.92,14.9,0.36
Small,3763.33,11.6,0.44
Very Large,94096.39,24.3,685.25
Large,23894.79,21.9,78.38
Large,35821.99,22.2,119.25
Medium,8146.29,15.0,6.12
Large,25622.36,23.6,90.63
Very Large,95910.4,21.1,607.33
Very Large,65717.51,24.7,487.2
Large,39550.04,18.1,107.62
Very Large,74710.62,28.3,633.9
Very Large,76271.75,22.4,513.54
Very Large,91298.91,21.0,575.36
Small,2390.53,14.5,0.35
Large,33510.53,22.5,113.04
Small,2459.77,12.9,0.32
Small,4286.51,12.4,0.53
Large,27619.25,15.3,63.43
Small,3542.8,11.6,0.41
Very Large,50190.86,26.8,403.79
Medium,17836.06,13.8,12.32
Very Large,53633.54,20.8,334.2
Large,40824.52,20.1,123.25
Medium,10405.67,12.5,6.53
Small,1867.76,13.3,0.25
Medium,18554.12,13.9,12.86
Small,4048.01,13.3,0.54
Medium,14761.53,19.0,14.02
Large,36813.22,16.1,88.96
Very Large,68975.15,22.3,460.77
Small,2959.92,11.9,0.35
Medium,17035.31,15.8,13.49
Small,689.11,13.7,0.09
Medium,19493.65,13.0,12.69
Small,1814.98,14.6,0.26
Medium,15489.73,18.7,14.5
Small,4832.65,13.6,0.66
Large,38847.14,20.3,118.45
Large,46182.62,16.1,111.71
Medium,6803.71,12.5,4.27
Small,1588.52,10.1,0.16
Very Large,64191.42,28.2,543.93
Small,1837.57,11.5,0.21
Medium,13982.12,12.5,8.75
Very Large,92613.19,26.7,741.22
Medium,10106.09,19.9,10.06
Large,22369.07,17.4,58.37
Small,1783.81,12.1,0.22
Large,49863.13,23.6,176.19
Large,39764.75,17.5,104.52
Small,3195.4,10.6,0.34
Small,2863.58,10.2,0.29
Large,44878.6,23.8,160.15
Small,613.14,13.5,0.08
Very Large,65847.33,24.3,480.93
Large,24125.71,18.4,66.62
Very Large,72169.0,26.1,564.45
Large,33357.38,22.9,114.52
Large,27123.0,20.1,81.87
Very Large,61709.22,27.9,515.9
Large,39566.73,24.5,145.44
Medium,12093.46,19.9,12.02
Very Large,81705.2,20.7,507.62
Small,513.14,10.2,0.05
Medium,5684.73,13.1,3.73
Very Large,73482.09,24.5,540.2
Small,2669.18,11.0,0.29
Large,33424.04,19.7,98.98
Small,2824.58,10.0,0.28
Medium,5742.45,18.7,5.36
Very Large,55401.29,23.4,388.73
Small,2473.42,11.1,0.27
Medium,9402.33,19.5,9.15
Small,4175.07,11.4,0.48
Small,1012.27,11.7,0.12
Large,37243.39,15.3,85.46
Very Large,85112.94,29.9,764.18
Small,4682.42,10.8,0.51
Very Large,71091.41,24.1,514.21
Very Large,83547.15,22.6,565.99
Small,1892.18,14.1,0.27
Large,48620.99,22.2,162.01
Small,3363.81,10.3,0.34
Small,4233.14,10.2,0.43
Very Large,84329.5,21.1,534.94
Medium,17005.32,17.3,14.71
Small,1044.61,12.1,0.13
Very Large,95016.06,24.0,685.32
Large,30643.14,24.4,112.23
Large,39382.89,21.5,126.8
Large,37809.82,15.1,85.65
Medium,7083.07,12.9,4.58
Large,46210.96,22.2,154.16
Large,42229.44,20.3,128.59
Large,36019.02,16.4,88.72
Small,3626.97,12.7,0.46
Large,34580.01,20.8,107.74
Medium,18652.02,18.5,17.22
Large,30295.02,22.3,101.3
Small,803.23,11.9,0.1
Large,32897.93,21.7,107.23
Large,36276.03,23.6,128.51
Medium,11696.29,18.4,10.75
Large,33503.7,20.8,104.49
Small,2439.43,11.6,0.28
Very Large,50615.49,23.7,359.88
Medium,15583.79,17.5,13.64
Large,35350.44,16.7,88.32
Large,24277.82,23.9,87.04
Small,4759.9,11.7,0.56
Medium,14687.34,17.1,12.55
Large,31576.24,22.9,108.55
Large,29336.52,21.8,95.8
Small,2889.88,14.2,0.41
Very Large,99401.8,24.5,731.8
Very Large,58367.99,29.7,520.41
Medium,5413.05,16.0,4.34
Large,24073.67,16.0,57.75
Medium,5464.34,15.1,4.13
Medium,10931.51,14.5,7.93
Small,2563.35,11.4,0.29
Small,4259.66,11.9,0.5
Very Large,65698.34,28.9,569.29
Very Large,99742.9,25.5,761.65
Small,1797.82,14.8,0.27
Very Large,51546.88,29.7,459.4
Medium,13121.11,13.2,8.68
Small,2895.16,10.8,0.31
Small,4251.42,12.2,0.52
Medium,17402.22,17.7,15.38
Medium,5864.71,14.7,4.32
Very Large,61751.86,28.3,524.4
Very Large,67363.85,25.8,521.49
Very Large,99985.69,21.5,645.06
Medium,12333.47,15.2,9.38
Small,3805.6,11.5,0.44
Medium,13540.66,17.0,11.49
Small,3788.68,10.7,0.41
Small,2639.96,12.7,0.34
Large,23971.17,20.9,75.26
Medium,15832.15,16.3,12.88
Very Large,51899.08,27.5,427.52
Large,23744.62,22.9,81.71
Very Large,73339.1,20.3,447.62
Medium,7231.94,15.7,5.68
Very Large,54683.62,27.5,451.9
Medium,13830.97,15.0,10.38
Medium,12836.66,16.5,10.59
Large,31596.22,20.1,95.32
Small,2130.21,13.6,0.29
Small,4913.33,12.0,0.59
Large,38063.51,20.9,119.41
Large,48681.41,17.0,124.17
Small,767.62,10.0,0.08
Small,4311.36,14.5,0.62
Large,29356.97,17.6,77.33
Small,2796.95,13.1,0.37
Large,42020.89,22.6,142.61
Medium,15315.83,17.8,13.62
Medium,12908.39,17.1,11.01
Small,2114.22,14.0,0.3
Very Large,86652.56,25.3,657.32
Medium,5132.95,20.0,5.13
Very Large,99732.43,20.9,625.27
Medium,5214.73,17.9,4.67
Small,3348.08,10.3,0.35
Small,3890.43,13.8,0.54
Very Large,90459.16,28.8,782.77
Large,38408.12,15.9,91.52
Small,3754.17,11.4,0.43
Very Large,70355.32,20.7,436.06
Large,36473.91,21.3,116.65
Small,4764.6,10.4,0.49
Small,954.24,14.3,0.14
Medium,6152.93,16.0,4.92
Medium,8633.47,15.8,6.83
Medium,6093.53,15.2,4.64
Large,26333.37,23.6,93.35
Large,44104.48,24.3,160.71
Medium,8992.52,12.2,5.47
Large,34293.11,17.3,88.79
Small,1486.73,10.2,0.15
Large,30734.42,21.5,99.02
Medium,7817.64,17.8,6.94
Very Large,72467.49,25.9,562.17
Very Large,77732.87,26.4,614.97
Medium,8628.98,17.7,7.64
Very Large,65159.7,22.9,447.64
Medium,12802.55,13.1,8.41
Large,41619.65,19.0,118.71
Large,28528.22,16.3,69.92
Medium,15825.82,14.2,11.21
Small,1929.14,10.0,0.19
Medium,16745.25,17.7,14.84
Medium,15604.65,12.5,9.75
Medium,12004.52,14.7,8.84
Very Large,87045.2,23.2,604.86
Large,44801.44,16.3,109.53
Small,4292.2,11.6,0.5
Very Large,95359.99,29.4,841.93
Large,47298.29,18.8,133.19
Very Large,83757.0,21.2,531.7
Large,34814.42,18.9,98.58
Large,45327.46,21.8,147.94
Large,25008.59,22.1,83.02
Small,1322.63,11.4,0.15
Large,48523.18,22.0,160.31
Medium,9034.52,15.8,7.14
Large,39324.48,15.5,91.32
Small,2743.57,11.9,0.33
Very Large,71636.46,24.6,528.18
Medium,14516.36,18.2,13.19
Small,735.6,13.8,0.1
Medium,13281.04,15.3,10.18
Medium,8179.91,17.3,7.06
Large,41914.89,21.5,135.03
Very Large,83890.66,26.1,656.3
Medium,10921.02,19.4,10.62
Very Large,86929.87,23.2,603.89
Very Large,52609.93,26.8,423.33
Medium,7988.23,19.1,7.64
Very Large,52150.35,26.7,417.23
Small,1001.8,12.6,0.13
Very Large,54993.34,26.9,443.47
Small,2205.92,11.7,0.26
Medium,15640.74,19.6,15.32
Large,34785.94,19.0,99.36
Small,4577.3,11.3,0.52
Small,2588.43,14.8,0.38
Very Large,69882.38,27.6,579.11
Large,43219.74,22.7,147.35
Very Large,56575.91,28.6,484.93
Medium,5254.21,18.2,4.77
Medium,10516.0,13.5,7.07
Large,20526.57,17.9,55.22
Small,3825.62,11.1,0.43
Small,2172.83,10.0,0.22
Large,39890.22,20.5,122.57
Very Large,92353.04,20.2,560.66
Large,44892.89,21.1,141.83
Very Large,72899.79,24.0,524.44
Very Large,94972.76,27.1,772.17
Small,1609.72,12.4,0.2
Large,21791.49,21.7,70.98
Very Large,97889.49,29.4,864.19
Small,2888.32,13.3,0.38
Large,48883.05,15.8,115.53
Small,1422.42,13.6,0.19
Large,24224.09,21.2,77.12
Medium,9727.21,14.2,6.91
Small,4150.06,13.2,0.55
Large,24916.43,21.4,80.09
Small,2053.36,14.6,0.3
Very Large,86249.06,25.4,656.91
Large,41231.64,15.6,96.62
Small,4687.73,12.5,0.59
Small,2514.53,10.7,0.27
Medium,9528.75,18.1,8.62
Very Large,75030.18,26.8,603.16
Small,3294.09,14.6,0.48
Medium,11894.97,16.4,9.74
Small,2563.69,12.8,0.33
Medium,11683.12,13.7,7.99
Large,40230.47,16.4,98.79
Large,43794.29,23.5,154.62
Very Large,82955.69,21.1,524.83
Very Large,97571.49,29.9,876.63
Very Large,97651.0,25.2,738.99
Very Large,62977.09,24.4,460.42
Large,25282.86,17.1,65.0
Medium,19717.67,13.5,13.33
Large,41963.68,18.6,116.77
Small,4820.61,12.6,0.61
Medium,19505.79,15.1,14.77
Medium,12153.5,17.7,10.78
Large,26961.19,19.6,79.19
Small,1232.15,12.8,0.16
Medium,17828.1,16.8,15.0
Small,540.67,11.8,0.06
Very Large,77599.52,28.0,652.94
Small,1499.34,11.6,0.17
Medium,12720.25,18.5,11.74
Medium,11430.53,12.2,6.99
Large,46839.28,15.0,105.42
Very Large,64444.25,24.0,463.58
Large,48645.41,19.9,145.55
Small,3924.54,11.9,0.47
Very Large,54536.09,20.3,332.55
Large,48527.86,20.8,151.2
Medium,14330.59,19.9,14.29
Small,3038.33,11.8,0.36
Very Large,92363.58,29.0,804.18
Medium,18773.59,12.8,12.03
Medium,17597.24,18.0,15.85
Small,662.08,10.9,0.07
Medium,15193.25,13.8,10.48
Very Large,79081.11,24.4,578.07
Large,32825.05,18.3,89.92
Large,28474.88,18.5,79.15
Large,47112.73,23.5,165.78
Small,2387.52,13.9,0.33
Medium,18333.31,16.4,14.99
Small,3160.09,10.9,0.35
Large,37814.07,15.3,86.94
Medium,6067.37,12.6,3.81
Large,46384.9,19.6,136.37
Large,44326.36,23.4,155.31
Small,3770.37,13.9,0.52
Very Large,82732.53,21.5,534.02
Small,2584.82,10.2,0.26
Very Large,71261.41,20.4,435.6
Medium,13200.51,16.3,10.73
Small,2374.55,12.6,0.3
Small,3754.08,11.0,0.41
Large,29125.96,18.0,78.81
Large,46482.03,15.5,108.2
Very Large,98342.27,22.2,656.23
Large,39219.07,19.2,112.71
Small,2401.83,11.5,0.28
Medium,17270.4,14.0,12.11
Large,25448.42,18.7,71.42
Large,49986.32,19.1,142.89
Very Large,87712.41,23.9,629.74
Small,1173.21,11.9,0.14
Large,36334.91,22.1,120.41
Large,28070.59,20.2,84.95
Small,4785.0,10.2,0.49
Small,2127.7,14.7,0.31
Large,41432.72,22.6,140.4
Medium,16710.98,17.7,14.76
Large,31078.42,24.3,113.42
Very Large,57951.25,21.8,379.04
Large,33851.48,24.2,122.93
Large,23753.76,23.5,83.75
Small,1733.32,14.0,0.24
Small,1139.77,11.1,0.13
Very Large,98926.27,28.6,847.76
Large,42941.57,21.7,139.84
Small,4761.91,12.5,0.59
Large,34475.01,20.1,103.77
Very Large,86722.2,23.8,620.33
Large,43465.14,16.2,105.91
Medium,15555.5,19.8,15.37
Small,938.81,12.8,0.12
Small,4177.08,12.7,0.53
Small,2933.31,12.1,0.36
Small,3733.04,14.3,0.53
Small,4826.81,13.6,0.66
Large,31896.61,16.3,78.07
Medium,17131.85,17.4,14.92
Very Large,64502.28,28.7,555.64
Large,35045.46,15.7,82.58
Medium,14373.11,16.6,11.91
Very Large,99095.28,26.3,781.27
Very Large,83701.0,20.5,515.22
Small,589.08,12.0,0.07
Small,2088.31,13.1,0.27
Small,2437.43,14.4,0.35
Small,807.59,13.9,0.11
Medium,6258.79,14.7,4.59
Medium,9986.84,12.5,6.22
Large,31443.23,24.8,117.07
Very Large,83573.96,26.3,659.97
Medium,16714.94,18.3,15.28
Small,956.18,11.4,0.11
Medium,19119.09,19.3,18.47
Very Large,53375.13,25.2,403.31
Small,964.05,12.7,0.12
Very Large,70180.05,27.4,576.43
Medium,13732.75,13.6,9.36
Small,2289.26,11.3,0.26
Medium,12751.85,17.9,11.43
Medium,9311.92,17.3,8.03
Medium,7159.13,16.8,6.0
Large,22267.51,24.5,81.88
Large,32911.24,22.0,108.4
Large,38709.46,21.5,124.75
Medium,14624.48,17.6,12.89
Medium,8763.4,17.4,7.63
Small,3524.25,12.9,0.46
Large,28132.89,21.0,88.52
Small,1283.37,10.6,0.14
Small,1196.73,14.7,0.18
Medium,19085.86,12.1,11.5
Very Large,79379.29,27.0,643.24
Small,727.2,13.1,0.1
Small,3123.17,11.3,0.35
Very Large,96982.58,22.2,646.04
Small,4279.11,10.9,0.47
Very Large,60733.39,26.6,485.56
Medium,5124.8,15.5,3.96
Large,46701.71,15.8,110.98
Small,2453.09,11.3,0.28
Small,2807.27,12.2,0.34
Large,37683.62,21.1,119.45
Small,3518.04,13.5,0.48
Small,911.26,11.0,0.1
Large,21500.56,24.1,77.77
Very Large,62418.81,22.1,414.66
Small,847.15,14.6,0.12
Large,33768.22,22.3,113.09
Medium,13956.44,16.8,11.69
Medium,19272.36,18.7,18.03
Medium,10749.26,15.9,8.57
Large,36327.62,17.0,92.65
Medium,12704.17,14.0,8.91
Large,35643.47,15.7,83.86
Medium,11412.43,13.6,7.79
Large,36149.96,17.7,95.92
Very Large,95762.86,28.6,821.59
Medium,16810.81,15.6,13.14
Small,4431.75,13.2,0.58
Medium,11414.02,15.5,8.87
Very Large,57219.38,27.8,477.89
Medium,17371.15,14.3,12.45
Large,37965.36,17.0,96.87
Medium,12539.47,12.4,7.81
Medium,5424.67,13.7,3.71
Small,3939.98,12.0,0.47
Medium,11131.66,19.4,10.79
Small,1222.08,10.4,0.13
Medium,19137.97,18.0,17.2
Large,44423.77,21.9,145.61
Large,44175.34,15.1,99.92
Very Large,62497.85,25.2,471.55
Large,27646.47,22.4,93.0
Medium,17428.33,18.3,15.96
Large,26481.8,23.1,91.73
Small,1970.34,11.8,0.23
Medium,9072.48,13.9,6.28
Small,961.56,12.0,0.12
Large,44866.14,18.5,124.43
Small,4364.68,13.4,0.58
Small,2051.52,12.3,0.25
Medium,11588.16,16.9,9.78
Small,2566.35,12.1,0.31
Very Large,84697.48,22.3,566.52
Large,32888.26,22.4,110.54
Small,3734.33,13.7,0.51
Medium,9451.8,16.3,7.72
Medium,5286.93,13.3,3.52
Medium,18224.94,13.0,11.82
Large,23160.36,17.2,59.84
Small,1453.52,11.6,0.17
Large,21731.96,18.9,61.64
Large,30070.21,22.5,101.46
Very Large,80815.02,25.6,619.9
Large,42615.95,23.7,151.59
Large,40892.89,22.0,135.08
Small,1416.5,11.6,0.16
Small,4417.37,13.2,0.58
Very Large,97255.71,27.0,786.79
Small,1027.42,11.7,0.12
Very Large,99021.78,25.1,746.31
Small,2263.37,14.5,0.33
Large,43189.6,24.5,158.82
Small,581.56,14.0,0.08
Small,3529.61,12.0,0.42
Small,3327.92,13.4,0.45
Very Large,94078.17,27.3,770.87
Small,2910.45,14.2,0.41
Small,4433.77,11.0,0.49
Very Large,66681.42,27.9,558.44
Medium,12658.43,18.6,11.75
Small,4471.52,12.3,0.55
Small,2343.83,13.2,0.31
Medium,18526.61,13.6,12.62
Very Large,52099.27,24.8,387.5
Large,36252.83,24.7,134.21
Very Large,77279.26,29.8,691.27
Medium,10632.03,18.4,9.8
Large,26946.45,24.4,98.73
Medium,9817.43,13.8,6.75
Medium,15938.52,16.9,13.44
Large,31087.23,19.6,91.59
Very Large,52265.96,23.5,368.47
Very Large,50418.18,22.2,335.43
Medium,17634.88,15.0,13.21
Large,44134.84,22.7,150.47
Large,21459.73,20.8,66.99
Small,3126.71,13.9,0.43
Small,2075.91,13.4,0.28
Very Large,57016.23,26.7,456.9
Very Large,85661.79,23.9,613.33
Very Large,59748.76,28.9,518.1
Small,1214.05,11.3,0.14
Large,37914.66,21.5,122.51
Very Large,92629.25,25.4,706.29
Medium,7347.15,15.8,5.8
Small,3707.5,11.9,0.44
Very Large,65691.34,22.4,441.74
Large,45845.41,23.7,162.89
Medium,12605.89,13.5,8.51
Small,3131.01,10.7,0.33
Large,44654.93,21.6,144.65
Very Large,71554.34,25.5,547.25
Small,1688.28,14.7,0.25
Medium,8375.63,16.2,6.8
Very Large,59546.33,26.9,481.37
Small,3446.19,14.1,0.49
Medium,14929.53,18.5,13.82
Very Large,73076.15,29.8,654.03
Very Large,54419.25,27.0,440.62
Very Large,57530.41,22.2,382.67
Small,1668.09,10.2,0.17
Small,4498.09,14.1,0.64
Very Large,51948.97,26.7,415.62
Medium,11434.77,13.6,7.78
Very Large,66264.53,29.0,576.69
Very Large,83338.6,20.9,523.61
Very Large,62450.44,25.8,482.75
Very Large,98363.18,28.3,834.12
Very Large,66331.96,27.5,546.88
Very Large,83712.94,20.1,503.71
Large,27244.89,15.4,62.95
Small,1931.47,14.8,0.29
Large,30812.8,22.8,105.55
Large,20410.96,15.8,48.38
Small,1544.08,10.1,0.16
Medium,18749.05,17.6,16.55
Very Large,51946.9,28.4,442.14
Large,20160.38,24.4,73.74
Small,4389.95,12.9,0.57
Small,811.98,13.2,0.11
Large,33268.81,22.1,110.16
Large,37365.21,20.7,115.99
Large,47845.46,24.3,174.33
Large,38555.81,21.3,123.36
Small,4980.34,14.9,0.74
Very Large,93052.26,24.6,687.05
Medium,13897.37,12.4,8.63
Large,44984.96,18.6,125.67
Medium,10596.84,19.5,10.35
Small,3342.4,10.3,0.34
Large,40914.07,21.5,131.86
Medium,13320.32,18.0,11.98
Large,37979.06,16.8,95.67
Very Large,52117.11,25.8,403.34
Small,4268.15,10.8,0.46
Very Large,84269.77,20.2,511.93
Large,40989.19,23.4,143.76
Medium,15285.51,19.3,14.74
Very Large,74424.78,24.0,536.28
Small,3130.25,14.2,0.44
Medium,18819.61,16.7,15.68
Very Large,54745.42,25.9,426.04
Very Large,51587.19,24.2,375.04
Medium,18735.08,16.9,15.86
Large,46487.44,21.6,150.55
Large,35047.27,24.8,130.18
Very Large,59832.68,27.4,491.36
Very Large,94229.16,21.3,600.77
Large,20900.78,24.0,75.16
Large,38091.19,21.2,121.07
Large,45421.64,15.6,106.45
Very Large,67375.35,24.4,492.26
Very Large,90848.7,28.5,777.45
Medium,9590.77,16.4,7.87
Medium,6065.52,13.7,4.15
Medium,12124.26,12.4,7.54
Very Large,55048.91,21.7,357.95
Small,2884.47,14.9,0.43
Small,4854.93,12.2,0.59
Very Large,57778.57,22.1,382.6
Very Large,64969.17,22.3,435.13
Very Large,91330.92,23.7,648.16
Very Large,83699.71,20.6,517.91
Small,1265.52,14.5,0.18
Medium,10139.68,18.9,9.59
Large,28140.98,16.0,67.48
Large,29072.59,20.6,89.98
Very Large,57799.04,24.8,429.76
Medium,12582.63,13.2,8.27
Large,20094.23,16.7,50.46
Large,22468.17,19.6,66.04
Large,31871.24,22.2,105.9
Small,2383.73,12.3,0.29
Small,2061.78,12.7,0.26
Very Large,88852.46,28.6,762.94
Large,21348.84,16.3,52.08
Small,4952.53,14.4,0.72
Very Large,50791.16,25.2,384.4
Small,3837.39,12.5,0.48
Very Large,84351.96,26.6,672.64
Small,4369.08,12.0,0.53
Large,40955.92,19.2,117.72
Very Large,56300.1,22.0,370.98
Small,4180.35,12.6,0.52
Small,3106.92,12.4,0.39
Large,32083.27,24.7,118.88
Very Large,68608.66,26.6,547.84
Medium,6974.8,18.8,6.57
Small,1753.89,11.1,0.19
Small,2329.51,14.5,0.34
Very Large,96356.19,29.7,858.51
Very Large,68558.48,27.9,572.94
Very Large,89886.61,23.7,638.39
Large,30124.41,22.3,100.74
Small,4081.67,10.9,0.44
Small,613.57,11.3,0.07
Small,4433.32,11.2,0.5
Medium,16275.14,17.0,13.82
Medium,16888.92,17.0,14.37
Small,1544.25,11.3,0.17
Small,2080.49,10.5,0.22
Medium,8556.27,19.6,8.38
Large,28743.83,17.1,73.62
Medium,16787.19,16.7,14.03
Small,2598.35,13.8,0.36
Very Large,80762.68,27.6,668.82
Large,37907.32,25.0,142.13
Very Large,68790.25,27.1,558.88
Medium,7560.63,12.2,4.63
Small,704.54,13.2,0.09
Large,38453.87,24.1,139.05
Medium,16603.29,13.0,10.78
Very Large,51745.58,25.5,396.03
Very Large,96419.18,30.0,866.73
Very Large,51248.58,24.5,376.53
Small,2012.03,12.3,0.25
Small,1002.17,13.0,0.13
Very Large,96118.37,27.0,777.3
Large,44043.37,18.9,125.0
Large,37053.95,21.5,119.58
Small,1566.2,13.4,0.21
Small,4257.8,14.6,0.62
Medium,5992.48,12.2,3.64
Very Large,71555.62,20.9,448.13
Small,1554.92,11.7,0.18
Small,1994.93,11.5,0.23
Very Large,96660.25,22.7,656.95
Small,3440.23,11.0,0.38
Very Large,92405.46,29.5,817.0
Large,35189.91,18.5,97.67
Small,1767.27,14.8,0.26
Very Large,83905.69,25.4,640.12
Very Large,81134.48,29.9,727.8
Medium,9171.94,13.1,6.03
Very Large,72139.91,22.6,489.34
Medium,19875.44,16.3,16.23
Very Large,59286.65,23.7,421.97
Very Large,59924.55,21.6,389.19
Large,24883.73,21.0,78.21
Very Large,67071.26,24.5,492.73
Large,35045.54,17.5,91.82
Medium,5901.45,19.2,5.68
Very Large,87693.4,25.8,678.19
Large,28828.0,16.1,69.83
Large,21668.17,15.1,48.98
Very Large,93248.13,22.5,629.27
Large,32072.19,23.8,114.72
Very Large,87873.22,23.0,605.03
Very Large,84552.79,22.7,576.22
Small,3783.7,14.7,0.56
Small,2434.81,14.2,0.34
Medium,7600.15,15.9,6.04
Very Large,64397.27,24.9,481.59
Medium,7056.34,17.9,6.31
Small,1239.82,10.6,0.13
Small,2098.09,10.2,0.21
Very Large,86650.01,26.6,691.12
Medium,6587.8,19.0,6.25
Very Large,82851.52,29.0,720.41
Medium,13408.7,19.5,13.1
Very Large,91327.55,28.0,767.42
Small,944.32,10.4,0.1
Small,1034.19,14.9,0.15
Small,1518.24,14.5,0.22
Medium,16083.0,12.3,9.86
Medium,17951.99,13.8,12.37
Large,25175.72,20.7,78.09
Large,36837.67,17.5,96.49
Very Large,99178.36,22.6,672.33
Large,43461.52,17.4,113.44
Medium,5755.24,12.4,3.57
Very Large,76179.32,22.2,506.96
Small,3262.87,11.3,0.37
Large,40662.88,24.0,146.25
Large,44620.88,19.8,132.35
Small,4072.68,10.8,0.44
Small,1976.81,11.0,0.22
Small,4255.66,11.8,0.5
Small,4284.09,11.1,0.48
Large,24187.97,20.8,75.34
Small,2230.75,12.3,0.27
Small,1419.11,10.1,0.14
Small,4701.87,13.4,0.63
Small,3207.57,14.7,0.47
Medium,11116.22,13.3,7.39
Very Large,80961.95,23.3,566.44
Small,3716.39,10.3,0.38
Very Large,61957.13,25.1,466.96
Large,48154.46,21.6,156.15
Small,3417.06,11.2,0.38
Large,32096.23,23.3,112.35
Very Large,65982.6,24.4,482.63
Large,27660.09,16.1,66.63
Very Large,87501.42,25.3,664.57
Very Large,82907.99,20.7,514.89
Large,28640.16,20.6,88.34
Very Large,91365.11,20.4,559.68
Small,1490.4,12.6,0.19
Medium,13355.61,13.9,9.25
Very Large,98433.73,22.6,668.07
Large,26613.38,23.9,95.26
Very Large,73230.66,23.8,522.78
Small,3334.19,12.0,0.4
Medium,9722.39,12.3,6.0
Small,2428.06,13.7,0.33
Large,46807.84,21.6,151.52
Medium,13104.45,18.8,12.29
Medium,6614.21,18.1,6.0
Medium,8767.54,18.8,8.22
Very Large,77373.57,22.7,527.93
Medium,13595.63,14.6,9.93
Large,36782.16,23.3,128.47
Large,49350.64,24.7,182.53
Very Large,61694.85,22.1,409.2
Very Large,83554.66,28.1,703.22
Medium,6986.07,15.1,5.26
Large,27977.85,24.9,104.51
Large,49928.68,16.9,126.65
Medium,15320.68,13.0,9.93
Small,1391.43,10.3,0.14
Small,1502.04,11.5,0.17
Very Large,95847.1,27.8,798.3
Medium,7564.05,15.3,5.8
Small,4087.45,13.6,0.56
Medium,10896.56,12.8,6.97
Small,735.76,10.8,0.08
Very Large,58150.96,22.3,389.7
Large,44904.53,24.5,164.91
Large,24063.79,17.3,62.5
Very Large,63885.95,20.4,390.2
Medium,5759.34,12.3,3.55
Small,543.59,14.3,0.08
Large,37497.57,15.1,85.01
Very Large,65685.33,22.5,442.96
Medium,13825.28,15.2,10.49
Large,20187.72,15.6,47.3
Large,41283.17,17.7,109.7
Large,23958.96,20.1,72.35
Large,21517.19,19.3,62.17
Medium,7450.05,13.8,5.13
Small,1517.36,14.1,0.21
Small,904.62,11.0,0.1
Medium,10061.81,19.0,9.54
Medium,9196.19,14.7,6.74
Large,21538.82,19.9,64.38
Small,3773.88,12.4,0.47
Large,35898.22,16.6,89.46
Medium,8128.83,14.4,5.84
Large,24617.0,16.5,60.9
Medium,10198.38,15.3,7.78
Very Large,83984.86,20.6,518.19
Very Large,79241.93,23.4,555.69
Medium,7901.53,17.1,6.77
Small,2051.68,11.7,0.24
Large,28918.62,17.3,75.04
Large,39443.15,23.8,140.52
Large,44781.94,21.7,145.97
Very Large,55279.58,20.5,339.19
Large,42138.53,18.6,117.6
Medium,5524.09,19.9,5.5
Small,4966.62,10.8,0.54
Large,23518.4,16.7,58.88
Large,39782.69,20.8,123.99
Small,3370.56,14.9,0.5
Very Large,80969.5,24.1,585.7
Medium,14281.58,17.3,12.37
Very Large,92528.73,22.0,611.11
Small,2433.3,11.4,0.28
Large,36685.72,22.8,125.44
Medium,12854.01,14.0,9.02
Small,4504.61,15.0,0.67
Small,3434.42,13.9,0.48
Large,27590.79,23.7,97.9
Very Large,53050.36,22.9,364.11
Medium,15107.58,18.8,14.18
Very Large,57588.77,28.9,499.22
Medium,14047.25,17.5,12.26
Very Large,50067.31,23.8,357.2
Very Large,88429.07,22.3,590.6
Very Large,97153.09,23.2,677.3
Very Large,87353.91,22.2,581.44
Small,3426.91,11.1,0.38
Small,4322.51,10.2,0.44
Small,4986.09,10.9,0.54
Small,4679.87,11.7,0.55
Very Large,51392.2,26.2,404.36
Small,1663.66,10.1,0.17
Very Large,88872.77,26.7,712.63
Very Large,58732.36,23.0,404.54
Large,44165.78,19.0,125.73
Large,46711.53,20.8,145.52
Small,611.08,11.8,0.07
Medium,6348.15,16.8,5.33
Medium,17003.1,18.9,16.07
Medium,7149.22,17.7,6.33
Very Large,86341.94,27.8,721.33
Small,4551.19,14.0,0.64
Small,4268.89,13.1,0.56
Medium,9437.36,12.0,5.67
Large,22450.02,24.2,81.64
Small,3351.7,13.0,0.43
Large,21274.1,21.8,69.71
Small,3492.75,12.8,0.45
Large,23788.13,23.1,82.55
Small,4241.83,14.6,0.62
Medium,9773.93,19.2,9.36
Large,41868.18,22.8,143.18
Large,46736.0,15.1,106.11
Large,30697.89,17.5,80.79
Medium,6381.48,18.5,5.91
Small,4809.34,12.8,0.62
Small,2989.0,14.1,0.42
Large,31399.37,21.1,99.24
Very Large,61286.39,23.9,439.4
